Z,N
85.3117984584,6110
93.2857791661,5830
81.2738782319,5660
93.3228395146,5550
93.2845602109,5380
93.2786297378,5000
85.273653348,4610
88.2844195145,4590
88.2801423102,4530
93.2744872479,4496
93.3147902151,4450
84.2986001854,4310
87.2801423102,4140
88.2816303472,3920
88.3093988793,3720
84.2927424421,3660
92.2853894698,3570
87.2797285481,3460
81.2870977262,3440
93.3195070952,3437
86.2940027147,3410
75.2741112154,3300
87.2554201555,3300
91.3217447276,3290
80.273653348,3280
90.2738170104,3220
78.2941107594,3170
93.2742296621,3100
91.322608505,3080
68.21908335,3000
93.297221242,2960
87.2816303472,2940
93.2993566173,2910
69.2234525444,2910
80.2870977262,2900
92.2858025428,2890
60.2243040202,2810
86.3168654971,2780
93.2852328024,2750
93.3198258876,2662
74.2599610268,2620
88.2986270112,2600
93.2891767583,2550
93.2948563621,2540
93.2801032134,2510
85.2927424421,2510
75.2599610268,2510
93.2789072625,2467
90.2733495792,2460
92.2888973161,2443
93.3008482319,2410
77.2399416742,2390
93.2856719601,2370
91.296859376,2290
89.2785738477,2260
92.2940911068,2200
93.3047331737,2180
93.3204671952,2174
89.252465993,2170
86.2797285481,2130
92.2742296621,2120
93.3120988587,2080
81.2718524988,2080
85.3168654971,2070
84.2542826666,2070
93.2936911484,2065
92.2948370325,2060
85.2816746315,2050
92.2845602109,2020
70.2595845887,2020
89.2619671292,2000
90.2282336609,2000
91.2888973161,1989
88.2938389993,1980
93.2976827062,1980
87.2940027147,1970
73.2666868973,1960
83.2199734055,1960
93.3123084711,1960
82.2738793027,1950
87.2742380693,1950
93.2869015285,1940
90.2744179234,1900
81.3024708959,1880
81.2542826666,1880
81.273653348,1840
80.2590696879,1830
93.2795158116,1826
92.2993566173,1820
82.2856404685,1820
80.2742675918,1810
77.2795827504,1780
90.2619671292,1770
76.2741112154,1730
91.2733495792,1710
81.293870038,1710
84.2855885802,1680
82.293870038,1670
93.3090997545,1660
93.3004557296,1610
91.2940143044,1566
93.3047508108,1560
88.2554201555,1560
79.2796628949,1550
93.3055830452,1550
88.2938365165,1540
89.2738170104,1540
72.2590737271,1540
84.273653348,1500
93.2940192634,1480
92.2742019503,1480
93.3238175703,1480
92.2744872479,1478
90.2853894698,1470
83.2856440382,1470
93.3145988683,1460
89.3154165873,1450
92.2867844969,1427
85.2199734055,1420
77.2387677874,1390
78.2590943843,1380
77.2801007343,1380
92.2966293722,1350
93.2593269155,1340
88.2871556779,1340
93.3197617952,1330
81.2972252966,1330
86.3117984584,1320
92.2869015285,1290
80.279869805,1270
77.2741112154,1270
93.2966293722,1270
93.295814652,1260
84.2816746315,1260
74.2617901184,1260
87.2585502977,1260
70.2285568393,1250
91.3086006764,1230
81.2738793027,1230
90.3066841234,1227
93.3215065754,1224
91.2797240225,1220
93.2973486943,1220
91.2853894698,1210
88.3090367381,1200
93.2888973161,1195
91.2229476701,1194
91.3066841234,1193
93.3039972487,1190
86.2491700148,1190
93.3025295652,1150
89.3087656641,1150
81.3016996922,1150
93.3003554384,1150
92.2948563621,1140
93.3220036935,1140
72.2666868973,1130
77.2285568393,1120
92.2593269155,1120
87.2740316477,1120
83.2399416742,1110
82.2713108222,1090
87.2938365165,1060
88.2585502977,1060
92.2797240225,1050
93.3157369758,1040
91.2945280832,1030
73.2590737271,1010
92.2816085261,1010
89.2938127149,1004
72.2293182614,1000
85.2855885802,970
93.2769035047,968
92.3007210178,960
89.2799435067,952
92.3195070952,949
92.2928072267,940
89.2940019089,930
91.2797356949,920
81.2738232431,920
85.2812763525,910
90.2797240225,900
78.2285568393,900
93.3229406708,890
80.2244065889,880
68.2234525444,880
88.2986028593,880
76.2399416742,880
93.309810398,872
92.2229476701,863
93.2950231067,840
90.2972597991,840
75.2617901184,820
87.2491700148,820
82.2199734055,820
79.2742675918,810
93.3157418864,810
79.2869234153,810
79.2590943843,800
90.3090997545,800
80.2869234153,790
90.2738002424,790
82.2393341426,780
86.2801423102,780
81.2391693678,770
89.2719683228,770
92.2976827062,760
81.2244065889,760
93.2940143044,759
92.3198258876,751
80.3025423707,740
82.2593814116,740
78.2856993348,730
92.2765500208,720
93.2948370325,710
78.3019118454,709
85.2542826666,700
93.296907382,697
85.2940027147,680
91.2738170104,680
81.2869234153,680
93.2704432381,670
91.3090997545,670
86.2938365165,670
89.2741413414,650
89.290791268,640
92.2940143044,631
80.2718524988,630
92.2796925986,630
93.2844071902,621
93.3008978703,620
91.2282336609,620
93.2871007269,620
91.2765500208,620
93.2689674684,604
90.2398078354,600
88.2948133192,600
93.3090601248,600
86.2816303472,580
78.21908335,580
93.3025061182,580
80.31439552,580
93.2893808139,570
93.2598500864,560
91.3007210178,560
93.2565609286,550
81.3025423707,550
88.2948486394,540
86.2812763525,530
93.2853894698,530
93.2992510186,530
92.3145988683,520
92.3153357782,520
83.2856404685,520
90.252465993,520
80.2399416742,520
73.2293182614,520
93.3157168058,513
93.3098278472,511
82.2585905594,510
92.2940019089,510
82.2542826666,510
89.2387833022,504
90.2856709435,500
92.2799677835,500
93.3172869788,500
93.3195439682,500
67.2234525444,490
93.2867844969,485
81.2593814116,480
91.2940911068,480
75.2539531395,480
93.2972461688,480
88.28563189,480
81.2742675918,470
80.2545194481,461
92.2611727337,460
93.2799608274,460
90.3217447276,460
89.2870247928,450
93.3006717481,450
91.2738714,450
88.3005971214,450
81.3018566083,450
88.2491700148,440
83.2855885802,440
83.2927424421,440
92.2532693843,440
93.3247908939,440
88.2718502759,430
91.258715566,421
92.2797356949,420
93.3157076836,410
90.2799435067,405
83.2542826666,400
93.3036530215,390
91.2738002424,390
71.2595845887,390
89.3024806978,390
72.269142607,380
93.2994263437,380
88.2253200426,370
90.3086006764,370
92.3157531411,370
92.2801032134,370
91.2869066995,370
93.3065507467,370
89.2398078354,360
93.2952482886,360
81.2695224551,350
78.31439552,350
93.2745286242,347
90.2945280832,340
81.2585905594,340
77.21908335,340
92.322608505,340
93.2972152452,330
73.2617901184,330
87.2859719598,330
74.2540571866,330
92.2890258002,330
88.2741235635,330
88.2583324274,330
85.2843238878,327
92.3098278472,323
93.3157531411,320
87.274502442,320
81.2590696879,320
93.2799677835,320
88.2797285481,320
93.3041675598,320
85.2939155502,320
93.3041809599,320
81.279869805,310
93.2992746108,310
92.3090997545,310
83.2593814116,310
83.2891523634,310
93.3052151313,300
71.2243040202,300
87.2938389993,300
90.3154165873,300
76.2485790156,290
91.3172895403,290
75.2485790156,290
91.2851852859,290
79.273653348,290
83.2713108222,290
84.2539535283,283
91.2843421509,282
92.2891808939,282
93.2867711766,281
89.2856709435,280
92.3176487685,280
92.2738714,280
75.2539522123,280
81.2844059568,280
79.2545194481,280
92.2944591414,280
93.3040391445,278
87.3192612012,275
84.2199734055,270
93.2964525773,270
84.2588534151,270
88.2715672464,270
89.3090997545,270
93.3065650889,270
92.2744649655,270
86.3217448197,265
93.2890951325,264
90.2843421509,263
93.3168649372,262
72.2243040202,260
74.2666868973,260
81.269025592,260
84.2856440382,260
93.3192488211,260
86.2993204628,253
89.2741112154,251
93.2586484186,250
84.2891523634,250
89.3021759641,250
78.2399416742,250
93.3026499561,250
85.2986001854,250
93.28613571,250
63.2243040202,250
92.2741009593,249
93.2690758114,248
86.2740316477,240
86.273653348,240
71.2285568393,240
84.2399416742,240
93.2802552243,240
91.3145988683,240
93.2690242185,239
89.3129689535,239
93.2741009593,231
91.3153357782,230
92.2789072625,230
80.293870038,230
89.2870357701,230
83.2738793027,230
93.3219956456,230
90.2789072625,230
90.2851852859,230
83.3143124723,226
87.3169648784,225
93.3132777885,225
81.2992034744,220
92.2948125423,220
90.2973486943,220
90.2719683228,220
76.2554253788,220
86.2554201555,220
88.2740316477,220
82.2399416742,220
89.3006717481,220
84.3143124723,219
85.3217448197,218
93.3024911328,218
81.2891913079,218
84.3217448197,212
85.2688830039,210
85.2688725655,210
78.2617901184,210
93.2611727337,210
86.2890966042,210
81.2589102123,210
86.2585502977,210
82.3016996922,210
78.2587009723,200
93.3040104162,200
91.2890181277,200
79.31439552,200
82.3018566083,200
86.2393341426,200
90.296859376,200
89.2782371658,191
93.3019117292,191
83.2696517685,190
84.2742675918,190
86.2948133192,190
89.3192612012,190
86.2542826666,190
83.2536885343,190
79.2285568393,190
93.3041335865,187
77.2485790156,180
92.2699594062,180
91.2966293722,180
75.2694119289,180
79.2399416742,180
90.2785738477,180
84.2593814116,180
82.2391693678,180
72.2537876542,180
93.2864977681,179
90.258715566,179
93.3071939736,179
78.2889719631,174
92.3041335865,173
90.2782371658,171
92.2384434168,170
93.3131359697,170
93.3220343235,170
89.2229476701,170
84.2391693678,170
76.2694119289,170
93.2844067895,170
93.3129455349,170
93.2843855939,170
88.2927260014,170
77.2856993348,170
92.3172325315,170
92.2844896349,170
92.3169460346,170
93.2816085261,170
91.2796925986,169
93.2542849054,165
88.3192612012,163
75.2543035664,160
89.2797240225,160
92.3008482319,160
93.2880230691,160
92.2994754101,160
90.2611727337,160
93.2858464365,160
84.2536885343,160
93.2940911068,160
88.2742380693,160
91.2993566173,160
